trial,spearman_rho,top10_overlap,top20_overlap,w_centrality,w_essentiality,w_survival,w_druggability
75,0.9551220315265259,0.9,0.85,0.25298613326298186,0.16006225841273117,0.2410645172283283,0.3458870910959587
76,0.9471868955015023,0.9,0.9,0.2466159049300844,0.3359081312102159,0.14374810292946008,0.2737278609302396
77,0.9517142033995967,0.8,0.9,0.1888518936750753,0.2767279098796426,0.2215118812503168,0.3129083151949653
78,0.9753879079721776,0.9,0.85,0.3378757145571623,0.1832061050925805,0.19992815925159454,0.27899002109866256
79,0.8959706959706959,0.9,0.8,0.26870833363126145,0.17879208499562046,0.12876820301510813,0.4237313783580098
80,0.9571305099394986,0.9,0.9,0.21154740087685958,0.2216039238276196,0.2348490837194741,0.33199959157604675
81,0.8544182409350949,0.8,0.75,0.09289905538456998,0.46562592304471484,0.17373871084818945,0.26773631072252574
82,0.8780754825698645,0.8,0.85,0.09102369668169044,0.18886973422417266,0.37184530265904897,0.3482612664350878
83,0.9414413302053751,0.9,0.75,0.3224700050626964,0.1613918289817609,0.4158444198438479,0.10029374611169484
84,0.944305881384533,0.9,0.85,0.22771873688657243,0.34376093481020753,0.1510635352935536,0.27745679300966636
85,0.9131580030456435,0.8,0.8,0.23059163295183457,0.1153058603605039,0.23547814868385328,0.41862435800380815
86,0.9703831748775568,0.9,0.9,0.23212310219198523,0.2783995826767356,0.33120533154598064,0.1582719835852985
87,0.9712227847059307,0.9,0.85,0.28969473042239596,0.1645362639791937,0.23637113487137004,0.30939787072704045
88,0.8452813104498497,0.6,0.75,0.20943168792793138,0.08343864302579636,0.1997556753219474,0.5073739937243249
89,0.9082026587644565,0.8,0.75,0.16076918955883598,0.4240341907968064,0.1716465754685323,0.24355004417582551
90,0.9860229657982468,1.0,0.9,0.3392124442428286,0.20253331017880902,0.309141584772522,0.14911266080584032
91,0.9421986253446928,0.9,0.85,0.31279249642978907,0.3534379444150789,0.1006163714985242,0.23315318765660778
92,0.9674692348849653,0.9,0.9,0.27098662110353033,0.13342333223730216,0.2913362046138939,0.3042538420452737
93,0.9118738938963658,0.9,0.8,0.252058842159924,0.3121899884084213,0.0937602049913798,0.34199096444027494
94,0.8855331933983619,0.7,0.8,0.1309636971158295,0.22918075692139608,0.4564297500066001,0.1834257959561744
95,0.9066386796723874,0.7,0.8,0.23316879475334434,0.1391320712487775,0.481247226437982,0.14645190755989632
